education,<=50K,>50K
10th,93.73650107991361,6.263498920086392
11th,94.92273730684326,5.077262693156733
12th,92.69406392694064,7.30593607305936
1st-4th,96.76113360323887,3.2388663967611335
5th-6th,94.69548133595285,5.304518664047151
7th-8th,93.50785340314135,6.492146596858639
9th,94.57671957671958,5.423280423280423
Assoc-acdm,74.20362273579013,25.79637726420987
Assoc-voc,74.67248908296943,25.327510917030565
Bachelors,58.71651090342679,41.283489096573206
Doctorate,27.441077441077443,72.55892255892256
HS-grad,84.14216928535225,15.857830714647744
Masters,45.08844561535567,54.91155438464433
Preschool,98.79518072289156,1.2048192771084338
Prof-school,26.019184652278177,73.98081534772182
Some-college,81.03511674940246,18.964883250597538
