education_num,count,mean,median
1,83,42.204819277108435,41.0
2,247,46.63967611336032,46.0
3,509,43.585461689587426,43.0
4,955,49.52565445026178,51.0
5,756,40.902116402116405,39.0
6,1389,37.90280777537797,35.0
7,1812,32.14183222958057,28.0
8,657,32.23592085235921,28.0
9,15784,39.07380892042575,37.0
10,10878,35.67705460562603,34.0
11,2061,38.65114022319263,37.0
12,1601,37.777014366021234,37.0
13,8025,38.89632398753894,37.0
14,2657,44.00677455777193,44.0
15,834,45.15227817745804,43.0
16,594,47.53030303030303,47.0
