feature,coefficient,absolute_coefficient
cat__occupation_Priv-house-serv,-2.1016951795603975,2.1016951795603975
cat__marital_status_Married-AF-spouse,1.5542168659583984,1.5542168659583984
cat__marital_status_Married-civ-spouse,1.5007859036777251,1.5007859036777251
num__capital_gain,1.1523914651286742,1.1523914651286742
num__net_capital,1.130972003216203,1.130972003216203
cat__marital_status_Never-married,-1.1090670855367055,1.1090670855367055
cat__relationship_Wife,1.0583532198574277,1.0583532198574277
cat__education_Preschool,-1.0304393030610275,1.0304393030610275
cat__relationship_Own-child,-0.8880423246389937,0.8880423246389937
num__education_num,0.8605966468541036,0.8605966468541036
cat__occupation_Exec-managerial,0.8409485250698052,0.8409485250698052
cat__marital_status_Separated,-0.8175579322360026,0.8175579322360026
cat__relationship_Other-relative,-0.8139449445871311,0.8139449445871311
cat__occupation_Farming-fishing,-0.8025135880483104,0.8025135880483104
cat__sex_Female,-0.7615055956673411,0.7615055956673411
cat__occupation_Other-service,-0.6872823024106989,0.6872823024106989
cat__marital_status_Divorced,-0.6742926252589858,0.6742926252589858
cat__occupation_Protective-serv,0.6603610719630699,0.6603610719630699
cat__marital_status_Married-spouse-absent,-0.6266588617481691,0.6266588617481691
cat__occupation_Tech-support,0.6231830998935232,0.6231830998935232
cat__marital_status_Widowed,-0.6084275788609079,0.6084275788609079
cat__occupation_Handlers-cleaners,-0.549748703264064,0.549748703264064
cat__workclass_Federal-gov,0.549656879925462,0.549656879925462
cat__education_1st-4th,0.47569803672309924,0.47569803672309924
cat__workclass_Without-pay,-0.42718777124183444,0.42718777124183444
cat__education_Assoc-acdm,-0.4188950836488152,0.4188950836488152
cat__occupation_Prof-specialty,0.41072287219778714,0.41072287219778714
cat__education_5th-6th,0.4089221787121229,0.4089221787121229
num__age,0.4062411191922893,0.4062411191922893
cat__occupation_Sales,0.40257769234188134,0.40257769234188134
cat__race_Amer-Indian-Eskimo,-0.3703369611314358,0.3703369611314358
cat__workclass_Self-emp-not-inc,-0.357037669347143,0.357037669347143
num__is_full_time,0.3526776196185604,0.3526776196185604
cat__race_Other,-0.34831726822915665,0.34831726822915665
num__capital_loss,0.3179525967783399,0.3179525967783399
cat__workclass_Never-worked,-0.3111620778487422,0.3111620778487422
cat__workclass_State-gov,-0.30889169121324456,0.30889169121324456
cat__education_Prof-school,0.3073335316030505,0.3073335316030505
cat__relationship_Husband,-0.2827276417843233,0.2827276417843233
num__hours_per_week,0.2818054417033284,0.2818054417033284
cat__occupation_Armed-Forces,0.27673667212914815,0.27673667212914815
cat__race_Black,-0.27122941728158995,0.27122941728158995
cat__occupation_Machine-op-inspct,-0.24924013814841153,0.24924013814841153
cat__education_11th,-0.20721303954548045,0.20721303954548045
cat__education_Assoc-voc,-0.2047136694265458,0.2047136694265458
cat__workclass_Self-emp-inc,0.1980559406779671,0.1980559406779671
cat__occupation_Craft-repair,0.19216588476479718,0.19216588476479718
cat__education_Bachelors,-0.18735199571813996,0.18735199571813996
cat__education_9th,0.18500907304540012,0.18500907304540012
cat__relationship_Not-in-family,0.18126930149513104,0.18126930149513104
cat__occupation_Transport-moving,0.15968107855212754,0.15968107855212754
cat__education_7th-8th,0.15566386191760495,0.15566386191760495
cat__education_Masters,-0.1469121047778227,0.1469121047778227
cat__education_Doctorate,0.13707816394853922,0.13707816394853922
cat__race_Asian-Pac-Islander,0.12459767481156568,0.12459767481156568
cat__education_12th,-0.11377336845859667,0.11377336845859667
cat__workclass_Local-gov,-0.08874292943568701,0.08874292943568701
cat__race_White,0.08428465784272841,0.08428465784272841
cat__education_10th,-0.08065058020478452,0.08065058020478452
cat__education_HS-grad,-0.07533007186093636,0.07533007186093636
num__fnlwgt,0.054743752399362765,0.054743752399362765
cat__occupation_Adm-clerical,0.04310170050148136,0.04310170050148136
cat__relationship_Unmarried,-0.035908924352579676,0.035908924352579676
cat__workclass_Private,-0.035691995524912305,0.035691995524912305
cat__sex_Male,-0.019495718341762627,0.019495718341762627
cat__education_Some-college,0.014573056737846578,0.014573056737846578
